OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน,โรงพยาบาลใกล้ที่สุด,ระยะทาง(เมตร)
280,ชุมชนศาลาหลังบ้าน,1019,101904,2,13.75707365,100.4501326,เขตตลิ่งชัน,แขวงบางพรม,ชุมชนชานเมือง,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,2048.1587267190857
278,ชุมชนวัดเกาะ,1019,101907,2,13.74287379,100.4529766,เขตตลิ่งชัน,แขวงบางเชือกหนัง,ชุมชนชานเมือง,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,977.8681793756969
283,ชุมชนวัดปากน้ำฝั่งเหนือ,1019,101901,2,13.74665189,100.4607029,เขตตลิ่งชัน,แขวงคลองชักพระ,ชุมชนชานเมือง,โรงพยาบาลวิชัยเวช แยกไฟฉาย,1410.8723775634605
284,ชุมชนวัดเพลงกลางสวน,1019,101904,2,13.75291699,100.440619,เขตตลิ่งชัน,แขวงบางพรม,ชุมชนชานเมือง,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,1564.9568330332193
285,ชุมชนวัดสมรโกฏิ-บางระจัน,1019,101903,2,13.77381023,100.4447885,เขตตลิ่งชัน,แขวงฉิมพลี,ชุมชนชานเมือง,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,1700.3970067731238
686,ชุมชนคลองรางยายเพียร,1021,102105,2,13.59376097,100.4333675,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง,โรงพยาบาลผู้สูงอายุบางขุนเทียน,2512.6271786568527
130,ชุมชนตลาดสดเพชรพลอย,1004,100405,5,13.72811627,100.5198581,เขตบางรัก,แขวงสี่พระยา,ชุมชนเมือง,โรงพยาบาลไอเอ็มเอช สีลม,311.6636628884633
68,ชุมชนหมู่บ้านสุขใจ,1009,100905,5,13.68743824,100.6280538,เขตพระโขนง,แขวงบางจาก,ชุมชนเมือง,โรงพยาบาลไทยนครินทร์,2401.8046892346865
346,ชุมชนซอยราษฎร์ร่วมเจริญ,1018,101804,5,13.72209942,100.5045447,เขตคลองสาน,แขวงคลองต้นไทร,ชุมชนเมือง,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,967.1165253173758
359,ชุมชนฟื้นนครร่มเกล้า ระยะ 2 โซน 9,1011,101102,5,13.75972918,100.7318133,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,4562.601575653812
360,ชุมชนฟื้นนครร่มเกล้า ระยะ 4 โซน 10,1011,101102,5,13.76319637,100.7284637,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,4036.3664313382196
362,ชุมชนมิตรสามัคคีฟื้นนครร่มเกล้าระยะ 5 โซน 11,1011,101102,5,13.76948709,100.7348997,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,4052.9179619284223
366,ชุมชนหลังวัดลานบุญ,1011,101101,5,13.72793717,100.7219921,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,โรงพยาบาลสิรินธร,1930.9541963906715
369,ชุมชนวัดสังฆราชา,1011,101101,5,13.72536878,100.7376813,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,โรงพยาบาลสิรินธร,3391.7951350324397
370,ชุมชนหมู่บ้านพัฒนาทิพพาวาส,1011,101101,5,13.72554405,100.7487031,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),3842.0556071302462
371,ชุมชนหมู่บ้านเคหะนคร 2,1011,101101,5,13.71834262,100.7522183,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),3484.9634397497234
372,ชุมชนร่วมใจพัฒนา,1011,101101,5,13.72587776,100.7564439,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),3012.090430813096
374,ชุมชนมิตรปลูกศรัทธา,1011,101101,5,13.72473071,100.7689904,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),1649.624224391889
812,ชุมชนบูรพา 7,1036,103604,5,13.92239897,100.5681755,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,โรงพยาบาลทหารอากาศ (สีกัน),2528.519536696449
376,ชุมชนวัดพลมานีย์,1011,101105,5,13.71730265,100.8198089,เขตลาดกระบัง,แขวงทับยาว,ชุมชนเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,3719.280683058598
878,ชุมชนหมู่บ้านธนะสิน โครงการ 1,1027,102701,5,13.80614645,100.6524128,เขตบึงกุ่ม,แขวงคลองกุ่ม,ชุมชนเมือง,โรงพยาบาลสิรินาถ บึงกุ่ม,879.2719847483792
260,ชุมชนหมู่บ้านพัฒนา หมู่ 7 ฉิมพลี,1019,101903,2,13.79411893,100.4126887,เขตตลิ่งชัน,แขวงฉิมพลี,ชุมชนชานเมือง,โรงพยาบาลธนบุรี 2,1780.2440468603565
363,ชุมชนน่าฟีอะฮ์ (ลำนายโส),1011,101102,2,13.77394383,100.7296524,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนชานเมือง,โรงพยาบาล รามคำแหง 2,3303.3461461976826
364,ชุมชนจิตรา,1011,101102,2,13.731661,100.7232952,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนชานเมือง,โรงพยาบาลสิรินธร,2293.4904736872327
365,ชุมชนร่มเกล้า 1,1011,101102,2,13.73091873,100.7286245,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนชานเมือง,โรงพยาบาลสิรินธร,2713.051245493504
373,ชุมชนศิลาภิรัตน์อุปถัมภ์,1011,101103,2,13.73073236,100.7473917,เขตลาดกระบัง,แขวงคลองสามประเวศ,ชุมชนชานเมือง,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),4067.63793427663
377,ชุมชนวัดราชโกษา,1011,101106,2,13.69845994,100.8476081,เขตลาดกระบัง,แขวงขุมทอง,ชุมชนชานเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,7358.395855801994
378,ชุมชนดารุลมุกีมอุปถัมภ์,1011,101106,2,13.70705425,100.8428775,เขตลาดกระบัง,แขวงขุมทอง,ชุมชนชานเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,6459.2203658024255
194,ชุมชนหมู่บ้านศรัณจิต 2,1009,100905,5,13.68931846,100.6321527,เขตพระโขนง,แขวงบางจาก,ชุมชนเมือง,โรงพยาบาลสินแพทย์ ศรีนครินทร์,2178.361507770868
383,ชุมชนหมู่บ้านทิวไผ่พัฒนา,1011,101104,5,13.76698978,100.8044455,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,4195.863625297079
384,ชุมชนมิตรสัมพันธ์ หมู่ 9 (ลำปลาทิว),1011,101104,5,13.76556995,100.803325,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,4003.7962807202384
1549,ชุมชนพล ปตอ. พื้นที่เกียกกาย,1002,100206,5,13.79929516,100.5237215,เขตดุสิต,แขวงถนนนครไชยศรี,ชุมชนเมือง,โรงพยาบาลบางโพ,850.3680585864032
389,ชุมชนหมู่บ้านสมนึก,1011,101101,5,13.72271452,100.7385309,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,โรงพยาบาลสิรินธร,3425.903608165727
392,ชุมชนเคหะชุมชนร่มเกล้า โซน 6,1011,101102,5,13.76389262,100.7361345,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,4551.294391550389
393,ชุมชนเคหะชุมชนร่มเกล้า โซน 5,1011,101102,5,13.76458752,100.7350023,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,4409.0517979255765
395,ชุมชนเคหะชุมชนร่มเกล้า โซน 3,1011,101102,5,13.76695218,100.7316353,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,3964.3096500844727
396,ชุมชนเคหะชุมชนร่มเกล้า โซนหลังคาแดง,1011,101102,5,13.76789688,100.7296819,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,3739.6238771835183
724,ชุมชนวัดปรก,1028,102801,5,13.71210227,100.5221866,เขตสาทร,แขวงทุ่งวัดดอน,ชุมชนเมือง,โรงพยาบาลเซนต์หลุยส์,872.6441407640506
390,ชุมชนเคหะชุมชนร่มเกล้าแฟลตคลองสองต้นนุ่น (แฟลต 11 หลัง),1011,101102,6,13.77204028,100.7355659,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนอาคารสูง,โรงพยาบาล รามคำแหง 2,3949.347238416182
379,ชุมชนเลียบคลองมอญ,1011,101105,2,13.73240253,100.8152842,เขตลาดกระบัง,แขวงทับยาว,ชุมชนชานเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,2844.4080629209407
382,ชุมชนสุทธาวาส,1011,101105,2,13.73849071,100.8034413,เขตลาดกระบัง,แขวงทับยาว,ชุมชนชานเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,1711.0513054844491
385,ชุมชนหมู่บ้านพัฒนาหมู่ 12 (ลำพะอง),1011,101104,2,13.75225785,100.8301476,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนชานเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,4973.886447652777
386,ชุมชนหมู่บ้านพัฒนาหมู่ 13 (ลำคูเวียง),1011,101104,2,13.75805504,100.8296379,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนชานเมือง,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,5244.851182669255
409,ชุมชนลำนายโส,1010,101001,2,13.78328758,100.7196319,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนชานเมือง,โรงพยาบาล รามคำแหง 2,1828.977152418096
410,ชุมชนวังทองพัฒนา,1010,101001,2,13.79160977,100.7276924,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนชานเมือง,โรงพยาบาลนวมินทร์ 9,2275.095377752289
411,ชุมชนหมู่บ้านสินธานี 2,1010,101001,5,13.81568245,100.7091589,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาลเสรีรักษ์,1025.8752801189705
412,ชุมชนหมู่บ้านปรีชา 11,1010,101001,5,13.81349553,100.7129905,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาลเสรีรักษ์,546.1212192236936
413,ชุมชนหมู่บ้านธรากร,1010,101001,5,13.8043221,100.7219409,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาลนวมินทร์,781.9519242321692
417,ชุมชนหมู่บ้านพนาสนธิ์วิลล่า 3,1010,101001,5,13.83402935,100.735081,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาลนวมินทร์ 9,2755.221032811651
419,ชุมชนอนันตสามัคคี,1010,101002,5,13.81192896,100.7769804,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนเมือง,โรงพยาบาลนวมินทร์ 9,5769.039562709246
457,ชุมชนหมู่บ้านพัฒนา หมู่ 8,1006,100601,5,13.80337269,100.6169238,เขตบางกะปิ,แขวงคลองจั่น,ชุมชนเมือง,โรงพยาบาลภัสรพิบาล เนอสซิ่งโฮม,1409.8386127212602
423,ชุมชนบางชันพัฒนา,1010,101001,5,13.80554129,100.7026387,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,1567.5310425613675
427,ชุมชนบ้านคูคตพัฒนา,1010,101001,5,13.82016072,100.7072585,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาลเสรีรักษ์,1489.1391865471635
429,ชุมชนหมู่บ้านรุ่งนภาเพลส,1010,101001,5,13.77776973,100.745919,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาลนวมินทร์ 9,4469.332275333726
432,ชุมชนบัวขาวฝั่งใน,1010,101001,5,13.78253864,100.7233255,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาล รามคำแหง 2,2219.9363703059444
1969,ชุมชนมารวย 1,1042,104201,5,13.90820783,100.6450106,เขตสายไหม,แขวงสายไหม,ชุมชนเมือง,โรงพยาบาลภูมิพลอดุลยเดช,2890.018942997638
434,ชุมชนหมู่บ้านมีนบุรีการ์เด้นท์โฮม,1010,101002,5,13.82797899,100.7884324,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนเมือง,โรงพยาบาลนวมินทร์ 9,7232.414696344486
438,ชุมชนหมู่บ้านร่วมสุข 2,1010,101001,5,13.82285748,100.7235939,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,โรงพยาบาลนวมินทร์ 9,1225.0228313655384
437,ชุมชนเคหะชุมชนบางชัน,1010,101001,6,13.80497186,100.7091456,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนอาคารสูง,โรงพยาบาลเสรีรักษ์,1109.4111903151666
416,ชุมชนอับดุลรอมาน,1010,101002,2,13.81628221,100.7774204,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,โรงพยาบาลนวมินทร์ 9,5837.7782509326835
262,ชุมชนริมทางรถไฟชัยพฤกษ์,1019,101902,2,13.78716184,100.4585497,เขตตลิ่งชัน,แขวงตลิ่งชัน,ชุมชนชานเมือง,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,1239.5494320869166
420,ชุมชนสุเหร่าบ้านเกาะ,1010,101002,2,13.82389785,100.7804101,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,โรงพยาบาลนวมินทร์ 9,6284.238646006402
421,ชุมชนคู้ล่างสร้างสรรค์,1010,101002,2,13.85262045,100.8076668,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,โรงพยาบาลเวชการุณย์รัศมิ์,5573.2182680144315
422,ชุมชนโซ๊ะมันร่วมพัฒนา,1010,101002,2,13.83709921,100.7784016,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,โรงพยาบาลนวมินทร์ 9,6551.201470591519
506,ชุมชนแผ่นดินทองวัดแสนเกษม,1003,100304,2,13.92035611,100.8928161,เขตหนองจอก,แขวงคลองสิบสอง,ชุมชนชานเมือง,โรงพยาบาลเวชการุณย์รัศมิ์,7898.113391119653
447,ชุมชนสุขเจริญพัฒนา,1006,100601,5,13.8028242,100.6301645,เขตบางกะปิ,แขวงคลองจั่น,ชุมชนเมือง,โรงพยาบาลสิรินาถ บึงกุ่ม,1969.3929933160525
