OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน,ประชากร,โรงพยาบาลใกล้ที่สุด,ระยะทาง(เมตร)
346,ชุมชนซอยราษฎร์ร่วมเจริญ,1018,101804,5,13.72209942,100.5045447,เขตคลองสาน,แขวงคลองต้นไทร,ชุมชนเมือง,190,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,967.1165253
359,ชุมชนฟื้นนครร่มเกล้า ระยะ 2 โซน 9,1011,101102,5,13.75972918,100.7318133,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,1932,โรงพยาบาล รามคำแหง 2,4562.601576
360,ชุมชนฟื้นนครร่มเกล้า ระยะ 4 โซน 10,1011,101102,5,13.76319637,100.7284637,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,1746,โรงพยาบาล รามคำแหง 2,4036.366431
362,ชุมชนมิตรสามัคคีฟื้นนครร่มเกล้าระยะ 5 โซน 11,1011,101102,5,13.76948709,100.7348997,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,2084,โรงพยาบาล รามคำแหง 2,4052.917962
366,ชุมชนหลังวัดลานบุญ,1011,101101,5,13.72793717,100.7219921,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,1140,โรงพยาบาลสิรินธร,1930.954196
369,ชุมชนวัดสังฆราชา,1011,101101,5,13.72536878,100.7376813,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,1230,โรงพยาบาลสิรินธร,3391.795135
370,ชุมชนหมู่บ้านพัฒนาทิพพาวาส,1011,101101,5,13.72554405,100.7487031,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,2535,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),3842.055607
371,ชุมชนหมู่บ้านเคหะนคร 2,1011,101101,5,13.71834262,100.7522183,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,3639,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),3484.96344
372,ชุมชนร่วมใจพัฒนา,1011,101101,5,13.72587776,100.7564439,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,858,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),3012.090431
374,ชุมชนมิตรปลูกศรัทธา,1011,101101,5,13.72473071,100.7689904,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,1391,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),1649.624224
812,ชุมชนบูรพา 7,1036,103604,5,13.92239897,100.5681755,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,674,โรงพยาบาลทหารอากาศ (สีกัน),2528.519537
376,ชุมชนวัดพลมานีย์,1011,101105,5,13.71730265,100.8198089,เขตลาดกระบัง,แขวงทับยาว,ชุมชนเมือง,1654,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,3719.280683
878,ชุมชนหมู่บ้านธนะสิน โครงการ 1,1027,102701,5,13.80614645,100.6524128,เขตบึงกุ่ม,แขวงคลองกุ่ม,ชุมชนเมือง,955,โรงพยาบาลสิรินาถ บึงกุ่ม,879.2719847
260,ชุมชนหมู่บ้านพัฒนา หมู่ 7 ฉิมพลี,1019,101903,2,13.79411893,100.4126887,เขตตลิ่งชัน,แขวงฉิมพลี,ชุมชนชานเมือง,630,โรงพยาบาลธนบุรี 2,1780.244047
363,ชุมชนน่าฟีอะฮ์ (ลำนายโส),1011,101102,2,13.77394383,100.7296524,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนชานเมือง,721,โรงพยาบาล รามคำแหง 2,3303.346146
364,ชุมชนจิตรา,1011,101102,2,13.731661,100.7232952,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนชานเมือง,687,โรงพยาบาลสิรินธร,2293.490474
365,ชุมชนร่มเกล้า 1,1011,101102,2,13.73091873,100.7286245,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนชานเมือง,1560,โรงพยาบาลสิรินธร,2713.051245
373,ชุมชนศิลาภิรัตน์อุปถัมภ์,1011,101103,2,13.73073236,100.7473917,เขตลาดกระบัง,แขวงคลองสามประเวศ,ชุมชนชานเมือง,1108,โรงพยาบาลนคราภิบาล (โรงพยาบาลลาดกระบัง),4067.637934
377,ชุมชนวัดราชโกษา,1011,101106,2,13.69845994,100.8476081,เขตลาดกระบัง,แขวงขุมทอง,ชุมชนชานเมือง,1775,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,7358.395856
378,ชุมชนดารุลมุกีมอุปถัมภ์,1011,101106,2,13.70705425,100.8428775,เขตลาดกระบัง,แขวงขุมทอง,ชุมชนชานเมือง,996,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,6459.220366
194,ชุมชนหมู่บ้านศรัณจิต 2,1009,100905,5,13.68931846,100.6321527,เขตพระโขนง,แขวงบางจาก,ชุมชนเมือง,292,โรงพยาบาลสินแพทย์ ศรีนครินทร์,2178.361508
383,ชุมชนหมู่บ้านทิวไผ่พัฒนา,1011,101104,5,13.76698978,100.8044455,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนเมือง,1568,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,4195.863625
384,ชุมชนมิตรสัมพันธ์ หมู่ 9 (ลำปลาทิว),1011,101104,5,13.76556995,100.803325,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนเมือง,2455,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,4003.796281
1549,ชุมชนพล ปตอ. พื้นที่เกียกกาย,1002,100206,5,13.79929516,100.5237215,เขตดุสิต,แขวงถนนนครไชยศรี,ชุมชนเมือง,1113,โรงพยาบาลบางโพ,850.3680586
389,ชุมชนหมู่บ้านสมนึก,1011,101101,5,13.72271452,100.7385309,เขตลาดกระบัง,แขวงลาดกระบัง,ชุมชนเมือง,621,โรงพยาบาลสิรินธร,3425.903608
392,ชุมชนเคหะชุมชนร่มเกล้า โซน 6,1011,101102,5,13.76389262,100.7361345,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,1769,โรงพยาบาล รามคำแหง 2,4551.294392
393,ชุมชนเคหะชุมชนร่มเกล้า โซน 5,1011,101102,5,13.76458752,100.7350023,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,1091,โรงพยาบาล รามคำแหง 2,4409.051798
395,ชุมชนเคหะชุมชนร่มเกล้า โซน 3,1011,101102,5,13.76695218,100.7316353,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,679,โรงพยาบาล รามคำแหง 2,3964.30965
396,ชุมชนเคหะชุมชนร่มเกล้า โซนหลังคาแดง,1011,101102,5,13.76789688,100.7296819,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง,2704,โรงพยาบาล รามคำแหง 2,3739.623877
724,ชุมชนวัดปรก,1028,102801,5,13.71210227,100.5221866,เขตสาทร,แขวงทุ่งวัดดอน,ชุมชนเมือง,2250,โรงพยาบาลเซนต์หลุยส์,872.6441408
390,ชุมชนเคหะชุมชนร่มเกล้าแฟลตคลองสองต้นนุ่น (แฟลต 11 หลัง),1011,101102,6,13.77204028,100.7355659,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนอาคารสูง,4330,โรงพยาบาล รามคำแหง 2,3949.347238
379,ชุมชนเลียบคลองมอญ,1011,101105,2,13.73240253,100.8152842,เขตลาดกระบัง,แขวงทับยาว,ชุมชนชานเมือง,1250,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,2844.408063
382,ชุมชนสุทธาวาส,1011,101105,2,13.73849071,100.8034413,เขตลาดกระบัง,แขวงทับยาว,ชุมชนชานเมือง,830,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,1711.051305
385,ชุมชนหมู่บ้านพัฒนาหมู่ 12 (ลำพะอง),1011,101104,2,13.75225785,100.8301476,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนชานเมือง,426,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,4973.886448
386,ชุมชนหมู่บ้านพัฒนาหมู่ 13 (ลำคูเวียง),1011,101104,2,13.75805504,100.8296379,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนชานเมือง,426,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,5244.851183
409,ชุมชนลำนายโส,1010,101001,2,13.78328758,100.7196319,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนชานเมือง,666,โรงพยาบาล รามคำแหง 2,1828.977152
410,ชุมชนวังทองพัฒนา,1010,101001,2,13.79160977,100.7276924,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนชานเมือง,548,โรงพยาบาลนวมินทร์ 9,2275.095378
411,ชุมชนหมู่บ้านสินธานี 2,1010,101001,5,13.81568245,100.7091589,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,1110,โรงพยาบาลเสรีรักษ์,1025.87528
412,ชุมชนหมู่บ้านปรีชา 11,1010,101001,5,13.81349553,100.7129905,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,967,โรงพยาบาลเสรีรักษ์,546.1212192
413,ชุมชนหมู่บ้านธรากร,1010,101001,5,13.8043221,100.7219409,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,4460,โรงพยาบาลนวมินทร์,781.9519242
417,ชุมชนหมู่บ้านพนาสนธิ์วิลล่า 3,1010,101001,5,13.83402935,100.735081,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,625,โรงพยาบาลนวมินทร์ 9,2755.221033
419,ชุมชนอนันตสามัคคี,1010,101002,5,13.81192896,100.7769804,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนเมือง,536,โรงพยาบาลนวมินทร์ 9,5769.039563
457,ชุมชนหมู่บ้านพัฒนา หมู่ 8,1006,100601,5,13.80337269,100.6169238,เขตบางกะปิ,แขวงคลองจั่น,ชุมชนเมือง,605,โรงพยาบาลภัสรพิบาล เนอสซิ่งโฮม,1409.838613
423,ชุมชนบางชันพัฒนา,1010,101001,5,13.80554129,100.7026387,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,1112,โรงพยาบาล รามคำแหง 2,1567.531043
427,ชุมชนบ้านคูคตพัฒนา,1010,101001,5,13.82016072,100.7072585,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,1600,โรงพยาบาลเสรีรักษ์,1489.139187
429,ชุมชนหมู่บ้านรุ่งนภาเพลส,1010,101001,5,13.77776973,100.745919,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,1200,โรงพยาบาลนวมินทร์ 9,4469.332275
432,ชุมชนบัวขาวฝั่งใน,1010,101001,5,13.78253864,100.7233255,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,1701,โรงพยาบาล รามคำแหง 2,2219.93637
1969,ชุมชนมารวย 1,1042,104201,5,13.90820783,100.6450106,เขตสายไหม,แขวงสายไหม,ชุมชนเมือง,941,โรงพยาบาลภูมิพลอดุลยเดช,2890.018943
434,ชุมชนหมู่บ้านมีนบุรีการ์เด้นท์โฮม,1010,101002,5,13.82797899,100.7884324,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนเมือง,784,โรงพยาบาลนวมินทร์ 9,7232.414696
438,ชุมชนหมู่บ้านร่วมสุข 2,1010,101001,5,13.82285748,100.7235939,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,265,โรงพยาบาลนวมินทร์ 9,1225.022831
437,ชุมชนเคหะชุมชนบางชัน,1010,101001,6,13.80497186,100.7091456,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนอาคารสูง,1773,โรงพยาบาลเสรีรักษ์,1109.41119
416,ชุมชนอับดุลรอมาน,1010,101002,2,13.81628221,100.7774204,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,252,โรงพยาบาลนวมินทร์ 9,5837.778251
262,ชุมชนริมทางรถไฟชัยพฤกษ์,1019,101902,2,13.78716184,100.4585497,เขตตลิ่งชัน,แขวงตลิ่งชัน,ชุมชนชานเมือง,632,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,1239.549432
420,ชุมชนสุเหร่าบ้านเกาะ,1010,101002,2,13.82389785,100.7804101,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,1468,โรงพยาบาลนวมินทร์ 9,6284.238646
421,ชุมชนคู้ล่างสร้างสรรค์,1010,101002,2,13.85262045,100.8076668,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,798,โรงพยาบาลเวชการุณย์รัศมิ์,5573.218268
422,ชุมชนโซ๊ะมันร่วมพัฒนา,1010,101002,2,13.83709921,100.7784016,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,820,โรงพยาบาลนวมินทร์ 9,6551.201471
506,ชุมชนแผ่นดินทองวัดแสนเกษม,1003,100304,2,13.92035611,100.8928161,เขตหนองจอก,แขวงคลองสิบสอง,ชุมชนชานเมือง,780,โรงพยาบาลเวชการุณย์รัศมิ์,7898.113391
447,ชุมชนสุขเจริญพัฒนา,1006,100601,5,13.8028242,100.6301645,เขตบางกะปิ,แขวงคลองจั่น,ชุมชนเมือง,810,โรงพยาบาลสิรินาถ บึงกุ่ม,1969.392993
